Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R6         2512              -354.331mil  -2787.402mil   -354.331mil  -2787.402mil    -236.22mil  -2787.402mil  T        180.00 0R             
LED3_L4    LM301B             787.402mil   1968.504mil    787.402mil   1968.504mil    725.394mil   1924.213mil  T        180.00 2700K          
LED3_L3    LM301B             787.402mil  -2755.906mil    787.402mil  -2755.906mil    725.394mil  -2800.197mil  T        180.00 2700K          
LED2_L4    LM301B             787.402mil   1181.102mil    787.402mil   1181.102mil    725.394mil   1136.811mil  T        180.00 5000K          
LED2_L3    LM301B             787.402mil  -3543.307mil    787.402mil  -3543.307mil    725.394mil  -3587.598mil  T        180.00 5000K          
LED1_L4    LM301B             787.402mil    393.701mil    787.402mil    393.701mil    725.394mil    349.409mil  T        180.00 2700K          
LED1_L3    LM301B             787.402mil  -4330.709mil    787.402mil  -4330.709mil    725.394mil      -4375mil  T        180.00 2700K          
L1_D4      SRN6045TA           354.33mil   1783.465mil    354.331mil   1783.465mil     453.74mil   1783.465mil  T         90.00 47uH           
L1_D3      SRN6045TA           354.33mil    -578.74mil    354.331mil    -578.74mil     453.74mil    -578.74mil  T         90.00 47uH           
D1_D4      SMA                114.173mil   1704.724mil    114.173mil   1704.724mil    114.173mil   1625.984mil  T         90.00 B240A          
D1_D3      SMA                114.173mil    -657.48mil    114.173mil    -657.48mil    114.173mil   -736.221mil  T         90.00 B240A          
C5_D4      0603               620.079mil   1573.819mil    620.079mil   1573.819mil    620.079mil   1544.291mil  T         90.00 1uF            
C5_D3      0603               620.079mil   -788.386mil    620.079mil   -788.386mil    620.079mil   -817.913mil  T         90.00 1uF            
C4_D4      0603               559.055mil   1623.031mil    559.055mil   1623.031mil    559.055mil   1652.559mil  T        270.00 1.5nF          
C4_D3      0603               559.055mil   -739.173mil    559.055mil   -739.173mil    559.055mil   -709.646mil  T        270.00 1.5nF          
C3_D3      0603               559.055mil   -837.598mil    559.055mil   -837.598mil    559.055mil   -808.071mil  T        270.00 1.5nF          
C2_D4      1206                40.354mil   1468.504mil     40.354mil   1468.504mil     40.354mil   1525.591mil  T        270.00 4.7uF          
C2_D3      1206                40.354mil   -893.701mil     40.354mil   -893.701mil     40.354mil   -836.614mil  T        270.00 4.7uF          
C1_D4      1206               137.795mil   1468.504mil    137.795mil   1468.504mil    137.795mil   1525.591mil  T        270.00 0.1uF          
C1_D3      1206               137.795mil   -893.701mil    137.795mil   -893.701mil    137.795mil   -836.614mil  T        270.00 0.1uF          
C1_D1      1206              -267.716mil    979.331mil   -267.716mil    979.331mil    -210.63mil    979.331mil  T        180.00 0.1uF          
C1_D2      1206               -236.22mil  -1969.488mil    -236.22mil  -1969.488mil   -179.134mil  -1969.488mil  T        180.00 0.1uF          
C2_D1      1206              -267.716mil     881.89mil   -267.716mil     881.89mil    -210.63mil     881.89mil  T        180.00 4.7uF          
