Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

LED17_L_0  LM301B           -2204.724mil    708.662mil  -2204.724mil    708.661mil  -2204.724mil    739.173mil  T        360.00 5000K          
LED18_L_0  LM301B           -2204.724mil    236.221mil  -2204.724mil     236.22mil  -2204.724mil    266.732mil  T        360.00 2700K          
LED19_L_0  LM301B           -2992.126mil   2598.425mil  -2992.126mil   2598.425mil  -2992.126mil   2628.937mil  T        360.00 2700K          
LED20_L_0  LM301B           -2992.126mil   2125.984mil  -2992.126mil   2125.984mil  -2992.126mil   2156.496mil  T        360.00 5000K          
LED21_L_0  LM301B           -2992.126mil   1653.543mil  -2992.126mil   1653.543mil  -2992.126mil   1684.055mil  T        360.00 2700K          
LED22_L_0  LM301B           -2992.126mil   1181.102mil  -2992.126mil   1181.102mil  -2992.126mil   1211.614mil  T        360.00 2700K          
LED23_L_0  LM301B           -2992.126mil    708.662mil  -2992.126mil    708.661mil  -2992.126mil    739.173mil  T        360.00 5000K          
LED24_L_0  LM301B           -2992.126mil    236.221mil  -2992.126mil     236.22mil  -2992.126mil    266.732mil  T        360.00 2700K          
LED25_L_0  LM301B           -3779.528mil   2598.425mil  -3779.528mil   2598.425mil  -3779.528mil   2628.937mil  T        360.00 2700K          
LED26_L_0  LM301B           -3779.528mil   2125.984mil  -3779.528mil   2125.984mil  -3779.528mil   2156.496mil  T        360.00 5000K          
LED27_L_0  LM301B           -3779.528mil   1653.543mil  -3779.528mil   1653.543mil  -3779.528mil   1684.055mil  T        360.00 2700K          
LED28_L_0  LM301B           -3779.528mil   1181.102mil  -3779.528mil   1181.102mil  -3779.528mil   1211.614mil  T        360.00 2700K          
LED29_L_0  LM301B           -3779.528mil    708.662mil  -3779.528mil    708.661mil  -3779.528mil    739.173mil  T        360.00 5000K          
LED30_L_0  LM301B           -3779.528mil    236.221mil  -3779.528mil     236.22mil  -3779.528mil    266.732mil  T        360.00 2700K          
LED31_L_0  LM301B           -4566.929mil   2598.425mil  -4566.929mil   2598.425mil  -4566.929mil   2628.937mil  T        360.00 2700K          
LED32_L_0  LM301B           -4566.929mil   2125.984mil  -4566.929mil   2125.984mil  -4566.929mil   2156.496mil  T        360.00 5000K          
LED33_L_0  LM301B           -4566.929mil   1653.543mil  -4566.929mil   1653.543mil  -4566.929mil   1684.055mil  T        360.00 2700K          
LED34_L_0  LM301B           -4566.929mil   1181.102mil  -4566.929mil   1181.102mil  -4566.929mil   1211.614mil  T        360.00 2700K          
LED35_L_0  LM301B           -4566.929mil    708.662mil  -4566.929mil    708.661mil  -4566.929mil    739.173mil  T        360.00 5000K          
LED36_L_0  LM301B           -4566.929mil    236.221mil  -4566.929mil     236.22mil  -4566.929mil    266.732mil  T        360.00 2700K          
LED1_L_2   LM301B            -629.921mil    -236.22mil   -629.921mil    -236.22mil   -629.921mil   -205.709mil  T        360.00 2700K          
LED2_L_2   LM301B            -629.921mil   -708.661mil   -629.921mil   -708.661mil   -629.921mil   -678.149mil  T        360.00 5000K          
LED3_L_2   LM301B            -629.921mil  -1181.102mil   -629.921mil  -1181.102mil   -629.921mil  -1150.591mil  T        360.00 2700K          
LED4_L_2   LM301B            -629.921mil  -1653.543mil   -629.921mil  -1653.543mil   -629.921mil  -1623.031mil  T        360.00 2700K          
LED5_L_2   LM301B            -629.921mil  -2125.984mil   -629.921mil  -2125.984mil   -629.921mil  -2095.472mil  T        360.00 5000K          
